"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7112.7","","","","1"
"2021-02","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7227.6","","","","1"
"2021-03","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7371.8","","","","1"
"2021-04","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7228.9","","","","1"
"2021-05","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7196.4","","","","1"
"2021-06","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7324.7","","","","1"
"2021-07","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7429.9","","","","1"
"2021-08","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7463.1","","","","1"
"2021-09","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7553.1","","","","1"
"2021-10","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7596.9","","","","1"
"2021-11","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7662.2","","","","1"
"2021-12","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7716.4","","","","1"
"2022-01","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7552.3","","","","1"
"2022-02","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7737.9","","","","1"
"2022-03","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7753.1","","","","1"
"2022-04","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7784.2","","","","1"
"2022-05","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7791.0","","","","1"
"2022-06","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7773.1","","","","1"
"2022-07","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7788.1","","","","1"
"2022-08","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7772.8","","","","1"
"2022-09","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7751.2","","","","1"
"2022-10","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7804.3","","","","1"
"2022-11","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7819.5","","","","1"
"2022-12","Ontario","2021A000235","Total employed, all industries","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057717","7.1.1.1","7864.0","","","","1"
