ref_date,month,population_thousands,labour_force_thousands,employment_thousands,unemployment_thousands,full_time_employment_thousands,part_time_employment_thousands,unemployment_rate_percent,participation_rate_percent,employment_rate_percent,employment_mom_change_thousands,employment_yoy_change_thousands,employment_yoy_change_percent,unemployment_rate_mom_change_pp,unemployment_rate_yoy_change_pp
2021-01,2021-01-01,12309.7,7918.3,7112.7,805.6,5968.7,1144.0,10.2,64.3,57.8,,,,,
2021-02,2021-02-01,12316.9,7984.9,7227.6,757.3,6025.3,1202.3,9.5,64.8,58.7,114.9,,,-0.7,
2021-03,2021-03-01,12321.6,7995.3,7371.8,623.5,6124.0,1247.8,7.8,64.9,59.8,144.2,,,-1.7,
2021-04,2021-04-01,12325.1,7976.3,7228.9,747.4,6031.9,1197.0,9.4,64.7,58.7,-142.9,,,1.6,
2021-05,2021-05-01,12328.1,7945.6,7196.4,749.3,6013.8,1182.5,9.4,64.5,58.4,-32.5,,,0.0,
2021-06,2021-06-01,12339.8,8030.1,7324.7,705.4,6044.5,1280.2,8.8,65.1,59.4,128.3,,,-0.6,
2021-07,2021-07-01,12353.6,8070.1,7429.9,640.2,6090.4,1339.5,7.9,65.3,60.1,105.2,,,-0.9,
2021-08,2021-08-01,12372.1,8083.6,7463.1,620.5,6080.7,1382.4,7.7,65.3,60.3,33.2,,,-0.2,
2021-09,2021-09-01,12388.0,8160.1,7553.1,607.0,6189.9,1363.2,7.4,65.9,61.0,90.0,,,-0.3,
2021-10,2021-10-01,12406.8,8145.7,7596.9,548.8,6215.8,1381.1,6.7,65.7,61.2,43.8,,,-0.7,
2021-11,2021-11-01,12426.7,8191.9,7662.2,529.8,6262.5,1399.7,6.5,65.9,61.7,65.3,,,-0.2,
2021-12,2021-12-01,12446.6,8235.2,7716.4,518.8,6317.9,1398.4,6.3,66.2,62.0,54.2,,,-0.2,
2022-01,2022-01-01,12465.0,8153.2,7552.3,600.9,6277.9,1274.4,7.4,65.4,60.6,-164.1,439.6,6.2,1.1,-2.8
2022-02,2022-02-01,12482.4,8201.6,7737.9,463.7,6351.7,1386.3,5.7,65.7,62.0,185.6,510.3,7.1,-1.7,-3.8
2022-03,2022-03-01,12497.9,8198.6,7753.1,445.5,6370.2,1382.9,5.4,65.6,62.0,15.2,381.3,5.2,-0.3,-2.4
2022-04,2022-04-01,12513.8,8243.0,7784.2,458.8,6381.8,1402.4,5.6,65.9,62.2,31.1,555.3,7.7,0.2,-3.8
2022-05,2022-05-01,12531.4,8235.1,7791.0,444.1,6420.4,1370.6,5.4,65.7,62.2,6.8,594.6,8.3,-0.2,-4.0
2022-06,2022-06-01,12549.9,8194.4,7773.1,421.3,6443.5,1329.6,5.1,65.3,61.9,-17.9,448.4,6.1,-0.3,-3.7
2022-07,2022-07-01,12570.4,8204.9,7788.2,416.7,6427.2,1360.9,5.1,65.3,62.0,15.1,358.3,4.8,0.0,-2.8
2022-08,2022-08-01,12594.4,8216.5,7772.8,443.8,6429.2,1343.6,5.4,65.2,61.7,-15.4,309.7,4.1,0.3,-2.3
2022-09,2022-09-01,12617.5,8199.3,7751.2,448.0,6424.4,1326.8,5.5,65.0,61.4,-21.6,198.1,2.6,0.1,-1.9
2022-10,2022-10-01,12642.9,8255.8,7804.3,451.5,6422.1,1382.3,5.5,65.3,61.7,53.1,207.4,2.7,0.0,-1.2
