industry_display,latest_employment_thousands,jan2021_employment_thousands,change_thousands,change_percent,base_month,latest_month
Health care and social assistance,1052.9,876.9,176.0,20.1,2021-01,2026-04
"Professional, scientific and technical services",902.9,741.4,161.5,21.8,2021-01,2026-04
Accommodation and food services,426.6,311.7,114.9,36.9,2021-01,2026-04
Wholesale and retail trade,1130.9,1021.0,109.9,10.8,2021-01,2026-04
"Information, culture and recreation",363.5,255.8,107.7,42.1,2021-01,2026-04
Transportation and warehousing,441.3,343.8,97.5,28.4,2021-01,2026-04
"Finance, insurance, real estate, rental and leasing",731.4,634.1,97.3,15.3,2021-01,2026-04
Public administration,471.3,394.8,76.5,19.4,2021-01,2026-04
Educational services,578.9,530.7,48.2,9.1,2021-01,2026-04
Other services (except public administration),297.5,251.4,46.1,18.3,2021-01,2026-04
"Business, building and other support services",294.3,264.5,29.8,11.3,2021-01,2026-04
Construction,568.8,543.0,25.8,4.8,2021-01,2026-04
Utilities,68.6,49.2,19.4,39.4,2021-01,2026-04
"Forestry, fishing, mining, quarrying, oil and gas",48.2,33.7,14.5,43.0,2021-01,2026-04
Manufacturing,802.6,795.2,7.4,0.9,2021-01,2026-04
Agriculture,68.4,65.5,2.9,4.4,2021-01,2026-04
