industry_display,latest_employment_thousands,prior_year_employment_thousands,yoy_change_thousands,yoy_change_percent,prior_year_month,latest_month
Transportation and warehousing,441.3,400.7,40.6,10.1,2025-04,2026-04
Health care and social assistance,1052.9,1013.2,39.7,3.9,2025-04,2026-04
"Information, culture and recreation",363.5,339.8,23.7,7.0,2025-04,2026-04
"Business, building and other support services",294.3,277.9,16.4,5.9,2025-04,2026-04
Other services (except public administration),297.5,287.4,10.1,3.5,2025-04,2026-04
"Finance, insurance, real estate, rental and leasing",731.4,725.9,5.5,0.8,2025-04,2026-04
"Forestry, fishing, mining, quarrying, oil and gas",48.2,44.8,3.4,7.6,2025-04,2026-04
Agriculture,68.4,66.9,1.5,2.2,2025-04,2026-04
Utilities,68.6,68.4,0.2,0.3,2025-04,2026-04
Wholesale and retail trade,1130.9,1131.2,-0.3,-0.0,2025-04,2026-04
Construction,568.8,576.1,-7.3,-1.3,2025-04,2026-04
Manufacturing,802.6,811.1,-8.5,-1.0,2025-04,2026-04
Accommodation and food services,426.6,438.6,-12.0,-2.7,2025-04,2026-04
"Professional, scientific and technical services",902.9,915.4,-12.5,-1.4,2025-04,2026-04
Public administration,471.3,484.2,-12.9,-2.7,2025-04,2026-04
Educational services,578.9,611.8,-32.9,-5.4,2025-04,2026-04
