month,month_key,ref_date,year,quarter,month_number,month_name,year_month_label,is_latest_month
2021-01-01,202101,2021-01,2021,Q1,1,January,Jan 2021,False
2021-02-01,202102,2021-02,2021,Q1,2,February,Feb 2021,False
2021-03-01,202103,2021-03,2021,Q1,3,March,Mar 2021,False
2021-04-01,202104,2021-04,2021,Q2,4,April,Apr 2021,False
2021-05-01,202105,2021-05,2021,Q2,5,May,May 2021,False
2021-06-01,202106,2021-06,2021,Q2,6,June,Jun 2021,False
2021-07-01,202107,2021-07,2021,Q3,7,July,Jul 2021,False
2021-08-01,202108,2021-08,2021,Q3,8,August,Aug 2021,False
2021-09-01,202109,2021-09,2021,Q3,9,September,Sep 2021,False
2021-10-01,202110,2021-10,2021,Q4,10,October,Oct 2021,False
2021-11-01,202111,2021-11,2021,Q4,11,November,Nov 2021,False
2021-12-01,202112,2021-12,2021,Q4,12,December,Dec 2021,False
2022-01-01,202201,2022-01,2022,Q1,1,January,Jan 2022,False
2022-02-01,202202,2022-02,2022,Q1,2,February,Feb 2022,False
2022-03-01,202203,2022-03,2022,Q1,3,March,Mar 2022,False
2022-04-01,202204,2022-04,2022,Q2,4,April,Apr 2022,False
2022-05-01,202205,2022-05,2022,Q2,5,May,May 2022,False
2022-06-01,202206,2022-06,2022,Q2,6,June,Jun 2022,False
2022-07-01,202207,2022-07,2022,Q3,7,July,Jul 2022,False
2022-08-01,202208,2022-08,2022,Q3,8,August,Aug 2022,False
2022-09-01,202209,2022-09,2022,Q3,9,September,Sep 2022,False
2022-10-01,202210,2022-10,2022,Q4,10,October,Oct 2022,False
2022-11-01,202211,2022-11,2022,Q4,11,November,Nov 2022,False
2022-12-01,202212,2022-12,2022,Q4,12,December,Dec 2022,False
2023-01-01,202301,2023-01,2023,Q1,1,January,Jan 2023,False
2023-02-01,202302,2023-02,2023,Q1,2,February,Feb 2023,False
2023-03-01,202303,2023-03,2023,Q1,3,March,Mar 2023,False
2023-04-01,202304,2023-04,2023,Q2,4,April,Apr 2023,False
2023-05-01,202305,2023-05,2023,Q2,5,May,May 2023,False
2023-06-01,202306,2023-06,2023,Q2,6,June,Jun 2023,False
2023-07-01,202307,2023-07,2023,Q3,7,July,Jul 2023,False
2023-08-01,202308,2023-08,2023,Q3,8,August,Aug 2023,False
2023-09-01,202309,2023-09,2023,Q3,9,September,Sep 2023,False
2023-10-01,202310,2023-10,2023,Q4,10,October,Oct 2023,False
2023-11-01,202311,2023-11,2023,Q4,11,November,Nov 2023,False
2023-12-01,202312,2023-12,2023,Q4,12,December,Dec 2023,False
2024-01-01,202401,2024-01,2024,Q1,1,January,Jan 2024,False
2024-02-01,202402,2024-02,2024,Q1,2,February,Feb 2024,False
2024-03-01,202403,2024-03,2024,Q1,3,March,Mar 2024,False
2024-04-01,202404,2024-04,2024,Q2,4,April,Apr 2024,False
2024-05-01,202405,2024-05,2024,Q2,5,May,May 2024,False
2024-06-01,202406,2024-06,2024,Q2,6,June,Jun 2024,False
2024-07-01,202407,2024-07,2024,Q3,7,July,Jul 2024,False
2024-08-01,202408,2024-08,2024,Q3,8,August,Aug 2024,False
2024-09-01,202409,2024-09,2024,Q3,9,September,Sep 2024,False
2024-10-01,202410,2024-10,2024,Q4,10,October,Oct 2024,False
2024-11-01,202411,2024-11,2024,Q4,11,November,Nov 2024,False
2024-12-01,202412,2024-12,2024,Q4,12,December,Dec 2024,False
2025-01-01,202501,2025-01,2025,Q1,1,January,Jan 2025,False
2025-02-01,202502,2025-02,2025,Q1,2,February,Feb 2025,False
2025-03-01,202503,2025-03,2025,Q1,3,March,Mar 2025,False
2025-04-01,202504,2025-04,2025,Q2,4,April,Apr 2025,False
2025-05-01,202505,2025-05,2025,Q2,5,May,May 2025,False
2025-06-01,202506,2025-06,2025,Q2,6,June,Jun 2025,False
2025-07-01,202507,2025-07,2025,Q3,7,July,Jul 2025,False
2025-08-01,202508,2025-08,2025,Q3,8,August,Aug 2025,False
2025-09-01,202509,2025-09,2025,Q3,9,September,Sep 2025,False
2025-10-01,202510,2025-10,2025,Q4,10,October,Oct 2025,False
2025-11-01,202511,2025-11,2025,Q4,11,November,Nov 2025,False
2025-12-01,202512,2025-12,2025,Q4,12,December,Dec 2025,False
2026-01-01,202601,2026-01,2026,Q1,1,January,Jan 2026,False
2026-02-01,202602,2026-02,2026,Q1,2,February,Feb 2026,False
2026-03-01,202603,2026-03,2026,Q1,3,March,Mar 2026,False
2026-04-01,202604,2026-04,2026,Q2,4,April,Apr 2026,True
