measure_name,table,dax_expression,format,purpose
Latest Month,Dim Date,Latest Month = MAX('Dim Date'[month]),MMM yyyy,Shows the latest month included in the model.
Latest Employment (000s),Fact Labour Market,"Latest Employment (000s) = VAR LatestMonth = [Latest Month] RETURN CALCULATE(SUM('Fact Labour Market'[employment_thousands]), 'Dim Date'[month] = LatestMonth)","#,0.0",Headline employment KPI.
Latest Employment,Fact Labour Market,Latest Employment = [Latest Employment (000s)] * 1000,"#,0",Employment shown as people rather than thousands.
Latest Labour Force (000s),Fact Labour Market,"Latest Labour Force (000s) = VAR LatestMonth = [Latest Month] RETURN CALCULATE(SUM('Fact Labour Market'[labour_force_thousands]), 'Dim Date'[month] = LatestMonth)","#,0.0",Headline labour force KPI.
Latest Unemployment Rate,Fact Labour Market,"Latest Unemployment Rate = VAR LatestMonth = [Latest Month] RETURN DIVIDE(CALCULATE(AVERAGE('Fact Labour Market'[unemployment_rate_percent]), 'Dim Date'[month] = LatestMonth), 100)",0.0%,Headline unemployment pressure KPI.
Latest Participation Rate,Fact Labour Market,"Latest Participation Rate = VAR LatestMonth = [Latest Month] RETURN DIVIDE(CALCULATE(AVERAGE('Fact Labour Market'[participation_rate_percent]), 'Dim Date'[month] = LatestMonth), 100)",0.0%,Headline labour market attachment KPI.
Employment YoY Change (000s),Fact Labour Market,"Employment YoY Change (000s) = VAR LatestMonth = [Latest Month] RETURN CALCULATE(SUM('Fact Labour Market'[employment_yoy_change_thousands]), 'Dim Date'[month] = LatestMonth)","+#,0.0;-#,0.0;0.0",Same-month year-over-year employment change.
Industry Employment (000s),Fact Industry Employment,Industry Employment (000s) = SUM('Fact Industry Employment'[employment_thousands]),"#,0.0",Employment by selected industry and date context.
Industry YoY Change (000s),Fact Industry Employment,Industry YoY Change (000s) = SUM('Fact Industry Employment'[employment_yoy_change_thousands]),"+#,0.0;-#,0.0;0.0",Industry year-over-year change for the selected month.
Industry Change Since Jan 2021 (000s),Fact Industry Employment,"Industry Change Since Jan 2021 (000s) = VAR BaseMonth = DATE(2021,1,1) VAR CurrentEmployment = [Industry Employment (000s)] VAR BaseEmployment = CALCULATE([Industry Employment (000s)], 'Dim Date'[month] = BaseMonth) RETURN CurrentEmployment - BaseEmployment","+#,0.0;-#,0.0;0.0",Longer-run industry employment change from the project baseline.
